Id,CreatedAt,ModifiedAt,SubscriptionId,SubscriptionEndDate,SubscriptionStartDate,CustomerName,ClientManagerName,CommittedMrr,ChurnReason,ChurnReasonDescription,LastCustomerPortalLoginDate,LifetimeInMonths,AverageMailOpeningRate,HasFacebookPlusConfigWarning,HasFacebookPlusPerformanceWarning,FacebookPlusPerformanceWarningSeverity,HasGroceryPlusConfigWarning,HasGroceryPlusPerformanceWarning,GroceryPlusPerformanceWarningSeverity,HasFacebookConfigWarning,HasFacebookPerformanceWarning,FacebookPerformanceWarningSeverity,HasBannerConfigWarning,HasBannerPerformanceWarning,BannerPerformanceWarningSeverity,HasSeoProfileConfigWarning,HasSeoProfilePerformanceWarning,SeoProfilePerformanceWarningSeverity,HasFacebookAutopilotConfigWarning,HasFacebookAutopilotPerformanceWarning,FacebookAutopilotPerformanceWarningSeverity,HasUndertakerPlusConfigWarning,HasUndertakerPlusPerformanceWarning,UndertakerPlusPerformanceWarningSeverity,HasRealtorPlusConfigWarning,HasRealtorPlusPerformanceWarning,RealtorPlusPerformanceWarningSeverity,HasRealtorPropertyAssessmentConfigWarning,HasRealtorPropertyAssessmentPerformanceWarning,RealtorPropertyAssessmentPerformanceWarningSeverity,HasBusinessArticleConfigWarning,HasBusinessArticlePerformanceWarning,BusinessArticlePerformanceWarningSeverity,HasAutoarticleConfigWarning,HasAutoarticlePerformanceWarning,AutoarticlePerformanceWarningSeverity,HasFacebookImpressionCampaignConfigWarning,HasFacebookImpressionCampaignPerformanceWarning,FacebookImpressionCampaignPerformanceWarningSeverity,HasFacebookClickCampaignConfigWarning,HasFacebookClickCampaignPerformanceWarning,FacebookClickCampaignPerformanceWarningSeverity
8bb64b04-0f53-438b-bf4e-03974df47f2a,11/26/2025 09:43:00,,3ec80a2b-73e1-48d4-aed5-9e32f2d64f0e,03/14/2026 18:50:00,09/15/2022 17:50:00,Kirkens Korshær Genbrug Vamdrup,Casper Due,1000.0000,Økonomi,"Omstrukturering af virksomheden gør at Lars skal opsige markedsføring for nu, og derfor skal de ud af aftalen. Han er ikke afvisende for at vende tilbage engang i det nye år, når budgettet engang er på plads igen. ",01/01/0001 00:00:00,41,58,,,,,,,False,False,,False,False,,False,False,,,,,,,,,,,,,,False,False,,,,,,,,,,
3d3a81d1-753a-4408-b980-11ccca87d228,12/11/2025 11:38:45,,9fc51c08-75c2-44f3-8ed1-6b37d4ba74ea,03/23/2026 18:50:00,10/24/2024 17:50:00,Den Høje & Den Uhlig´,Thomas Dahl Johansen,1495.0000,Økonomi,"Vi får det ikke brugt udover artiklerne som vi laver for dem. De er fast besluttede på at slutte det af. 

Ved at grave lidt dybere, er de pressede økonomisk og skærer derfor helt ind til benet i de kommende måneder.",10/31/2024 09:39:57,16,60,,,,,,,False,False,,False,False,,False,False,,,,,,,,,,,,,,False,False,,,,,,,,,,
074bacbd-00dc-440b-b443-130508156877,11/14/2025 12:45:42,,e9456ad5-d871-4779-a13b-7710af811f2a,03/12/2026 18:50:00,01/13/2025 18:50:00,Stark Holstebro,Thomas Dahl Johansen,1795.0000,Økonomi,"Der blev ringet ind og opsagt, grundet økonomiske årsager. Der blev ikke uddybet da han ikke havde tid til det pt. men han var meget flink omkring det.",01/01/0001 00:00:00,13,29,,,,,,,False,False,,False,False,,False,False,,,,,,,,,,,,,,False,True,Medium,,,,,,,,,
f4346dfc-bfdc-40eb-ab73-3046809ca3a7,11/04/2025 10:49:04,,cb69368b-5243-4091-aa9f-01882727563a,03/01/2026 19:50:00,01/02/2023 18:50:00,HINSHØJ CARAVAN A/S,Thomas Dahl Johansen,1000.0000,Found a better fit with a competitor,"De har valgt at prioritere anderledes. Hun sagde at de ellers var glade for os, men at det var beslutningen for nu. Nu sagde selv, at hun måske vil kontakte os på et senere tidspunkt.",06/09/2025 09:25:24,37,89,,,,,,,False,False,,False,True,High,False,False,,,,,,,,,,,,,,False,True,High,,,,,,,,,
47b6ae0a-9d95-4afa-a352-54cfea30a5dc,11/25/2025 11:33:47,,f7f64faf-66ee-4ba4-b51c-82f3d77cdd3b,03/14/2026 18:50:00,05/15/2025 17:50:00,Tine Drejer Tattoo,"Søren Schrøder Rasmussen ",1495.0000,Ukendt årsag / Kunde svarer ikke,"Hun udsat samarbejdet af flere omgange, men så startede samarbejdet, og vi har ikke modtaget betaling
",01/01/0001 00:00:00,9,67,,,,,,,False,False,,False,False,,False,False,,,,,,,,,,,,,,False,False,,,,,,,,,,
ce92e8d3-71c7-4a7b-9add-68081dbc9b04,01/05/2026 15:12:43,,e991c1ff-f038-4bda-9d8a-2aa5540dbc0e,03/04/2026 23:00:00,08/05/2024 22:00:00," Rekord Rens og Vask",Mattias Løwe,999.0000,Ny marketingchef / Ny retning,Han ville prøve noget nyt.,09/30/2024 14:21:35,18,50,,,,,,,False,False,,False,False,,False,False,,,,,,,,,,,,,,False,False,,,,,,,,,,
269636ac-0a4b-4434-b1cd-6835327e8821,11/19/2025 14:41:32,,1fcf2093-b274-4f99-86b1-dd4c355cd1f5,03/14/2026 23:00:00,11/15/2023 23:00:00,Estate Boligmægleren Tårs,Christoffer Nibe,1495.0000,Manglende udbytte,"Pia hører ikke fra deres samarbejdspartnere eller kunder at de kommer fra Vores Tårs.

Men synes generelt at vi er fede og at artiklerne er gode. ",06/09/2025 14:38:17,27,56,,,,,,,False,False,,False,False,,False,False,,,,,,,,False,False,,,,,False,False,,,,,,,,False,False,
9f2e4f2b-dc0f-48cf-b09b-715408a1f14c,03/18/2026 16:10:54,,1f8f4ecd-3d0c-422b-8aff-32ef3c655fa7,03/20/2026 18:50:00,03/20/2026 18:50:00,auto-klinik,Alexander Søndergaard Mattzon,3000.0000,Økonomi,Laver ny aftale med 9 mdr binding,01/01/0001 00:00:00,0,67,,,,,,,,,,True,True,Low,True,True,Low,,,,,,,,,,,,,,,,,,,,,,,,
99175f1a-7aba-4c0d-aeba-7440305d4785,12/01/2025 11:01:30,,772b6862-7d23-4eda-96a9-b80a98a2b6e4,03/26/2026 18:50:00,01/27/2025 18:50:00,C2 Reklame,"Søren Schrøder Rasmussen ",299.0000,Ny marketingchef / Ny retning,"De omstrukturerer hele virksomheden, og derfor er alle deres abonnementer og aftaler opsagt for nu, og tages op igen sensommer/efterår 2026. ",01/31/2025 15:49:15,13,91,,,,,,,,,,False,False,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
182d0410-836e-4513-97aa-957276b0dee8,01/26/2026 11:10:27,,5f301ced-a37c-4a1a-a0ab-981e001c0667,03/31/2026 17:50:00,02/01/2025 18:50:00,Kerteminde auto,Martin Knudsen,1495.0000,Manglende udbytte,"Han synes ikke han får noget ud af det. Der var ikke så meget gang i det allgievel. Facebookside.

Han havde håbet at være pilotprojektets store drømmecase. ",03/21/2025 11:54:53,13,40,,,,,,,False,False,,False,False,,False,False,,,,,,,,,,,,,,False,False,,,,,,,,,,
5b711823-f75d-451c-9fe1-9a7419d75271,11/18/2025 12:45:42,,c24adc30-dec3-4149-ab1c-d23cfb7af1d4,03/14/2026 19:50:00,03/15/2022 18:50:00,HERNING SVØMMEHAL,Casper Due,1000.0000,Ny marketingchef / Ny retning,"De vil gerne ryste posen for 2026, de har lidt svært ved at finde ud af hvad der virker for dem online så nu stopper de for at prøve at finde ud af det. ",01/01/0001 00:00:00,47,32,,,,,,,False,False,,False,False,,False,False,,,,,,,,,,,,,,False,False,,,,,,,,,,
23661ddc-2e51-4d2f-bb6a-c8a175d37798,06/30/2025 13:40:59,,57a56139-7ea1-4721-81ca-961350a8eb06,03/03/2026 18:50:00,02/04/2025 18:50:00,Autoselect - Slagelse Synshal,Mattias Løwe,1698.0000,Ukendt årsag / Kunde svarer ikke,Mikail tager ikke telefonen.,03/25/2025 10:27:42,12,0,,,,,,,False,True,High,False,False,,True,False,,,,,,,,,,,,,,False,True,Low,,,,,,,,,
a4f27b6d-b9a2-4813-8062-cc07f62b9874,11/26/2025 11:00:20,,b6dd1308-0cc0-40ba-8850-512b1c70f08c,03/21/2026 19:50:00,03/22/2023 18:50:00,"Min Købmand Øster Bjerregrav ",Thomas Dahl Johansen,1000.0000,Manglende udbytte,"Vi har udhulet vores produkt. Da vi startede delte vi alle hans opslag, og nu deler vi kun et opslag om dagen.

Han synes derfor det er for dyrt, og derfor vil han gerne ud af aftalen. Jeg har skrever til ham at jeg gerne vil undersøge sagen nærmere og vende tilbage.

Generelle drillerier omkring Facebook delinger. ",10/21/2024 13:43:45,35,25,,,,False,False,,False,False,,False,True,High,False,False,,,,,,,,,,,,,,False,False,,,,,,,,,,
252bd601-c3e3-4dd7-883a-d37352ba91e7,11/28/2025 10:09:45,,607c360f-720d-4f5a-879e-bc0326333daf,03/16/2026 23:00:00,08/17/2023 22:00:00,Hjemmeoptik v/Peter F Nielsen,Thomas Dahl Johansen,1495.0000,Økonomi,"Peter opsiger abonnement gennem kundetelefon. Han opsiger grundet økonomiske årsager, da han simpelthen har haft et dårligt år. Han uddyber med at han gerne vil bygende at gå mere op i hans facebook i den løbende periode her (tegn på at retain med facebook ekko).
Jeg prøver at booke en tid med ham til KAM, men han kan ikke lægge en fast tid, dog vil han ikke udelukke at en tid sammen.
Under hele samtalen var han mega rar, flink og vi grinte.
Han udelukker hele ikke at komme tilbage en gang i fremtiden overhovdet.",01/01/0001 00:00:00,30,0,,,,,,,False,True,Low,False,True,High,False,False,,False,False,,,,,,,,,,,False,False,,,,,,,,,,
7e53fc62-e50e-4211-9b40-d3dc9f39c9c2,12/03/2025 11:36:48,,b1d596b6-5e6d-48a9-9c60-35cbce094a17,03/08/2026 18:50:00,08/09/2024 17:50:00,ROSENGREEN,Thomas Dahl Johansen,1249.0000,Ny marketingchef / Ny retning,"Susanne vil fortsætte i en anden retning, og nedjusterer derfor sine markedsføringskanaler",11/12/2025 16:06:31,18,0,False,False,,,,,False,False,,False,True,High,False,False,,,,,,,,,,,,,,False,False,,,,,,,,,,
8fd71e44-067b-42c8-aaee-d76fec3c51c4,12/03/2025 13:10:05,,4c0391ad-25fc-4268-9bc9-fcfd19016f48,03/31/2026 17:50:00,01/01/2024 18:50:00,Vendsyssel Tagbelægning,Christoffer Nibe,1495.0000,Økonomi,"Søren skal skære ind til benet. Indrømmer dog også at han ikke får brugt det nok. ",01/01/0001 00:00:00,26,12,,,,,,,False,False,,False,False,,False,False,,,,,,,,,,,,,,False,False,,,,,False,False,,,,
f8b3cf19-0cc5-4755-8c24-ddbd3947b7b7,01/05/2026 11:24:30,,f785c458-1ddf-44ce-9e2e-9855d02b108d,03/21/2026 18:50:00,05/22/2025 17:50:00,Sahva A/S,Stig Laurits Rasmussen,0.0000,Forventninger,Det er en testkunde fra Adwareness. De har aldrig betalt noget,01/01/0001 00:00:00,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,
16b48c96-c2cf-4255-a47c-de37e1f9be61,11/27/2025 15:39:59,,08c3e001-1833-4469-ae61-5284fd138a4d,03/22/2026 18:50:00,11/23/2023 18:50:00,"REMA 1000 Hestkærvej ",Christoffer Nibe,2494.0000,Manglende forbrug hos kunde,"Synes ikke du får noget ud af det. For mange penge at bruge en en platform de ikke bruger. Er åben for at tales ved i januar, men der er de udløbet. ",01/01/0001 00:00:00,27,50,,,,,,,False,False,,False,False,,False,False,,,,,,,,,,,,,,False,False,,,,,,,,,,
5e0f4280-4279-494c-ba71-f50b2b7e9610,12/09/2025 10:09:50,,7d3a8e1b-4b2a-496c-bc09-8dc121e83669,03/22/2026 18:50:00,10/23/2024 17:50:00,Rosen Begravelsesforretning,Christoffer Nibe,3000.0000,Konkurs/ophør,"Kunden er praktisk talt gået konkurs, men ved det ikke endnu. ",12/16/2024 12:26:16,16,67,,,,,,,False,False,,False,False,,False,False,,,,,,,,,,,,,,False,False,,,,,,,,,,
a36cfaad-38d3-4b0f-8d9b-fbe4d9cfee7a,11/20/2025 13:33:51,,f074721e-9bd1-43b4-b954-343aa953ecb7,03/03/2026 18:50:00,04/04/2024 17:50:00,Soldal Auto,Christoffer Nibe,1495.0000,Økonomi,"De har ikke længere råd, da virksomheden skal spare penge.",01/01/0001 00:00:00,22,10,,,,,,,False,True,Low,False,True,High,False,False,,,,,,,,,,,,,,False,False,,,,,,,,,,
